USUARIO,DATA,ORIGEM
Cliente_18,06/03/2018 10:28,12
Cliente_37,06/03/2018 10:28,12
Cliente_18,06/03/2018 10:29,12
Cliente_44,06/03/2018 10:35,12
Cliente_44,06/03/2018 10:35,12
Cliente_44,06/03/2018 10:36,12
Cliente_44,06/03/2018 10:36,12
Cliente_44,06/03/2018 10:36,12
Cliente_44,06/03/2018 10:39,12
Cliente_44,06/03/2018 10:40,12
Cliente_39,06/03/2018 10:46,12
Cliente_39,06/03/2018 10:47,12
Cliente_39,06/03/2018 10:49,12
Cliente_39,06/03/2018 10:52,12
Cliente_39,06/03/2018 10:53,12
Cliente_39,06/03/2018 10:53,12
Cliente_39,06/03/2018 10:54,12
Cliente_37,06/03/2018 11:19,12
Cliente_37,06/03/2018 11:19,12
Cliente_18,06/03/2018 11:36,12
Cliente_18,06/03/2018 11:37,12
Cliente_18,06/03/2018 11:39,12
Cliente_18,06/03/2018 11:40,12
Cliente_18,06/03/2018 11:40,12
Cliente_37,06/03/2018 14:15,12
Cliente_37,06/03/2018 14:17,12
Cliente_37,06/03/2018 14:28,12
Cliente_37,06/03/2018 14:33,12
Cliente_37,06/03/2018 14:34,12
Cliente_37,06/03/2018 15:26,12
Cliente_37,06/03/2018 15:36,12
Cliente_37,06/03/2018 15:39,12
Cliente_37,06/03/2018 15:39,12
Cliente_35,06/03/2018 16:23,12
Cliente_35,06/03/2018 16:23,12
Cliente_35,06/03/2018 16:24,12
Cliente_35,06/03/2018 16:24,12
Cliente_35,06/03/2018 16:24,12
Cliente_37,07/03/2018 09:15,12
Cliente_37,07/03/2018 09:16,12
Cliente_18,07/03/2018 09:44,12
Cliente_22,07/03/2018 12:46,12
Cliente_18,07/03/2018 13:17,12
Cliente_40,08/03/2018 11:26,12
Cliente_40,08/03/2018 11:30,12
Cliente_41,08/03/2018 13:32,12
Cliente_41,08/03/2018 13:34,12
Cliente_40,08/03/2018 13:38,12
Cliente_18,08/03/2018 16:48,12
Cliente_22,08/03/2018 16:56,12
Cliente_22,08/03/2018 17:31,12
Cliente_18,08/03/2018 18:03,12
Cliente_22,09/03/2018 10:50,12
Cliente_37,09/03/2018 11:02,12
Cliente_18,09/03/2018 11:04,12
Cliente_18,09/03/2018 11:07,12
Cliente_37,09/03/2018 11:18,12
Cliente_41,09/03/2018 11:53,12
Cliente_41,09/03/2018 11:54,12
Cliente_40,09/03/2018 12:23,12
Cliente_22,09/03/2018 12:48,14
Cliente_22,09/03/2018 12:57,14
Cliente_22,09/03/2018 12:59,14
Cliente_22,09/03/2018 13:26,14
Cliente_22,09/03/2018 13:35,14
Cliente_22,09/03/2018 13:36,14
Cliente_22,09/03/2018 13:47,14
Cliente_22,09/03/2018 14:08,14
Cliente_22,09/03/2018 14:18,14
Cliente_22,09/03/2018 14:23,14
Cliente_18,09/03/2018 14:41,12
Cliente_18,09/03/2018 14:44,12
Cliente_40,09/03/2018 14:50,12
Cliente_15,09/03/2018 14:57,12
Cliente_15,09/03/2018 15:03,12
Cliente_45,09/03/2018 16:32,12
Cliente_21,09/03/2018 16:42,12
Cliente_21,09/03/2018 16:45,12
Cliente_21,09/03/2018 16:47,12
Cliente_21,09/03/2018 16:49,12
Cliente_22,09/03/2018 16:49,12
Cliente_21,09/03/2018 16:52,12
Cliente_18,09/03/2018 17:13,12
Cliente_24,09/03/2018 17:43,12
Cliente_24,09/03/2018 17:56,12
Cliente_24,09/03/2018 17:56,12
Cliente_24,09/03/2018 18:02,12
Cliente_24,09/03/2018 18:04,12
Cliente_24,09/03/2018 18:18,12
Cliente_24,09/03/2018 18:20,12
Cliente_24,09/03/2018 18:22,12
Cliente_24,09/03/2018 18:23,12
Cliente_26,09/03/2018 18:39,12
Cliente_26,09/03/2018 18:40,12
Cliente_22,12/03/2018 11:06,14
Cliente_37,12/03/2018 13:11,12
Cliente_37,12/03/2018 13:48,12
Cliente_21,12/03/2018 14:50,12
Cliente_21,12/03/2018 14:51,12
Cliente_21,12/03/2018 14:52,12
Cliente_39,12/03/2018 14:56,12
Cliente_24,12/03/2018 14:57,12
Cliente_24,12/03/2018 14:57,12
Cliente_24,12/03/2018 14:59,12
Cliente_24,12/03/2018 14:59,12
Cliente_24,12/03/2018 15:01,12
Cliente_22,12/03/2018 15:45,12
Cliente_41,12/03/2018 15:49,12
Cliente_40,12/03/2018 15:52,12
Cliente_18,12/03/2018 16:10,12
Cliente_18,12/03/2018 17:15,12
Cliente_18,12/03/2018 17:16,12
Cliente_22,13/03/2018 07:21,12
Cliente_37,13/03/2018 14:32,12
Cliente_14,13/03/2018 15:25,12
