LOCP_CHV_IDE;LOCP_COD_USUARIO;LOCP_DAT_INCLUSAO;LOCP_DSC_OPERACAO;LOCP_COD_SISTEMA;LOCP_NOM_TABELA;LOCP_CHV_IDE_TABELA;LOCP_TXT_REGISTRADO;LOCP_COD_CASO_USO;LOCP_COD_NIVEL;LOCP_END_IP_REQ
254935;Cliente_37;16/02/2018 16:23;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;25-0210050090-S-VBAKKOM processado com êxito;ENVIAR PEDIDO;900;unknow
254934;Cliente_37;16/02/2018 16:23;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;25-0210050090-S-VBAPKOM processado com êxito;ENVIAR PEDIDO;900;unknow
254933;Cliente_37;16/02/2018 16:23;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;25-0210050090-S-Venda Produtos 210050090 foi gravado(a);ENVIAR PEDIDO;900;unknow
254932;Cliente_37;16/02/2018 16:23;25-INCLUSAO-Fim chamada Ws-client -> Process Server - 5.282 (ms) de duração;ABC;;;Tip=null|Num=0210050090|Orig=12|ConfirmadaOVsemelhante|Ems=00000Cliente_37|Rec=00000Cliente_37|DtE=17/02/2018|TOV=Z700|Its=1#Pos=10#Prd=000000000001000118|Qtd=10000|DtE=17/02/2018|Bas=5096|Prz=Z015|Mod=Z10|Ctr=null|Amo=|B2B=/#;ENVIAR PEDIDO;800;unknow
254937;Cliente_37;16/02/2018 16:23;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;25-0210050090-A-Item 10 - 01.000.118 - XXXXXXé inferi;ENVIAR PEDIDO;900;unknow
254939;Cliente_02;16/02/2018 16:51;Pesquisa de documentos.;ABC;;;CNPJ:null|NF:|AnoExec:0|NumDoc:|DtEmiIni:|DtEmiFim:|DtVcIni:01/01/2015|DtVcFim:30/01/2015|DtPgFut:|MsgSAP:Ocorreu um problema ao acessar o serviço 'consultarDebitos(FiltroPesquisaDocumentoTO)'..;EXTRATO CLIENTE;700;unknow
254940;Cliente_44;16/02/2018 16:59;26-INCLUSAO-Inicio chamada Ws-client -> Process Server;ABC;;;Tip=null|Num=|Orig=12||Ems=000000Cliente_44|Rec=000000Cliente_44|DtE=17/02/2018|TOV=Z70S|Its=1#Pos=10#Prd=000000000001000209|Qtd=5000|DtE=17/02/2018|Bas=5370|Prz=Y001|Mod=ZSF|Ctr=null|Amo=|B2B=/#;ENVIAR PEDIDO;800;unknow
254946;Cliente_44;16/02/2018 16:59;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;26-0210050091-A-Item 10 - 01.000.209 - XXXXXX ;ENVIAR PEDIDO;900;unknow
254943;Cliente_44;16/02/2018 16:59;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;26-0210050091-A-Modificação da data fat.: data de faturamento será redeterminada;ENVIAR PEDIDO;900;unknow
254941;Cliente_44;16/02/2018 16:59;26-INCLUSAO-Fim chamada Ws-client -> Process Server - 4.363 (ms) de duração;ABC;;;Tip=null|Num=0210050091|Orig=12||Ems=000000Cliente_44|Rec=000000Cliente_44|DtE=17/02/2018|TOV=Z70S|Its=1#Pos=10#Prd=000000000001000209|Qtd=5000|DtE=17/02/2018|Bas=5370|Prz=Y001|Mod=ZSF|Ctr=null|Amo=|B2B=/#;ENVIAR PEDIDO;800;unknow
254945;Cliente_44;16/02/2018 16:59;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;26-0210050091-A-Verificação 1 do usuário para crédito sem êxito;ENVIAR PEDIDO;900;unknow
254944;Cliente_44;16/02/2018 16:59;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;26-0210050091-A-Frete será determinado novamente;ENVIAR PEDIDO;900;unknow
